Date,Wind Spd, Wind Dir
2021/07/07 11:08,10.0,107
2021/07/07 11:09,11.0,110
2021/07/07 11:10,12.0,110
2021/07/07 11:11,12.0,107
2021/07/07 11:12,14.0,107
2021/07/07 11:13,13.0,108
2021/07/07 11:14,14.0,108
2021/07/07 11:15,14.0,105
2021/07/07 11:16,15.0,104
2021/07/07 11:17,16.0,100
2021/07/07 11:18,17.0,97
2021/07/07 11:19,17.0,97
2021/07/07 11:20,16.0,97
2021/07/07 11:21,16.0,98
2021/07/07 11:22,15.0,98
2021/07/07 11:23,15.0,100
2021/07/07 11:24,14.0,101
2021/07/07 11:25,14.0,103
2021/07/07 11:26,12.0,104
2021/07/07 11:27,12.0,102
2021/07/07 11:28,11.0,102
2021/07/07 11:29,12.0,102
2021/07/07 11:30,11.0,102
2021/07/07 11:31,11.0,102
2021/07/07 11:32,11.0,100
2021/07/07 11:33,11.0,96
2021/07/07 11:34,12.0,93
2021/07/07 11:35,12.0,92
2021/07/07 11:36,12.0,89
2021/07/07 11:37,14.0,91
2021/07/07 11:38,15.0,92
2021/07/07 11:39,15.0,93
2021/07/07 11:40,16.0,92
2021/07/07 11:41,17.0,91
2021/07/07 11:42,18.0,93
2021/07/07 11:43,19.0,95
2021/07/07 11:44,19.0,97
2021/07/07 11:45,19.0,98
2021/07/07 11:46,19.0,98
2021/07/07 11:47,18.0,99
2021/07/07 11:48,18.0,98
2021/07/07 11:49,17.0,99
2021/07/07 11:50,16.0,102
2021/07/07 11:51,15.0,106
2021/07/07 11:52,15.0,111
2021/07/07 11:53,15.0,114
2021/07/07 11:54,16.0,116
2021/07/07 11:55,17.0,120
2021/07/07 11:56,19.0,124
2021/07/07 11:57,19.0,126
2021/07/07 11:58,20.0,131
2021/07/07 11:59,22.0,133
2021/07/07 12:00,23.0,135
2021/07/07 12:01,23.0,135
2021/07/07 12:02,23.0,133
2021/07/07 12:03,22.0,132
2021/07/07 12:04,22.0,131
2021/07/07 12:05,21.0,131
2021/07/07 12:06,20.0,132
2021/07/07 12:07,20.0,131
2021/07/07 12:08,19.0,132
2021/07/07 12:09,19.0,132
2021/07/07 12:10,18.0,132
2021/07/07 12:11,18.0,133
2021/07/07 12:12,18.0,136
2021/07/07 12:13,19.0,137
2021/07/07 12:14,19.0,137
2021/07/07 12:15,19.0,137
2021/07/07 12:16,19.0,137
2021/07/07 12:17,18.0,140
2021/07/07 12:18,18.0,139
2021/07/07 12:19,18.0,138
2021/07/07 12:20,18.0,138
2021/07/07 12:21,17.0,137
2021/07/07 12:22,17.0,133
2021/07/07 12:23,16.0,133
2021/07/07 12:24,15.0,134
2021/07/07 12:25,15.0,135
2021/07/07 12:26,14.0,135
2021/07/07 12:27,14.0,134
2021/07/07 12:28,13.0,134
2021/07/07 12:29,12.0,133
2021/07/07 12:30,12.0,132
2021/07/07 12:31,12.0,134
2021/07/07 12:32,14.0,137
2021/07/07 12:33,14.0,135
2021/07/07 12:34,12.0,136
2021/07/07 12:35,12.0,134
2021/07/07 12:36,12.0,136
2021/07/07 12:37,12.0,136
2021/07/07 12:38,12.0,136
2021/07/07 12:39,14.0,137
2021/07/07 12:40,15.0,140
2021/07/07 12:41,16.0,139
2021/07/07 12:42,16.0,140
2021/07/07 12:43,16.0,143
2021/07/07 12:44,17.0,143
2021/07/07 12:45,17.0,147
2021/07/07 12:46,17.0,146
2021/07/07 12:47,17.0,143
2021/07/07 12:48,17.0,143
2021/07/07 12:49,17.0,143
2021/07/07 12:50,16.0,143
2021/07/07 12:51,16.0,143
2021/07/07 12:52,15.0,142
2021/07/07 12:53,15.0,140
2021/07/07 12:54,15.0,139
2021/07/07 12:55,14.0,137
2021/07/07 12:56,14.0,136
2021/07/07 12:57,15.0,138
2021/07/07 12:58,15.0,140
2021/07/07 12:59,14.0,82
2021/07/07 13:00,14.0,86
2021/07/07 13:01,14.0,90
2021/07/07 13:02,15.0,93
2021/07/07 13:03,15.0,95
2021/07/07 13:04,15.0,93
2021/07/07 13:05,15.0,94
2021/07/07 13:06,15.0,94
2021/07/07 13:07,15.0,96
2021/07/07 13:08,15.0,97
2021/07/07 13:09,15.0,96
2021/07/07 13:10,15.0,95
2021/07/07 13:11,14.0,93
2021/07/07 13:12,14.0,92
2021/07/07 13:13,15.0,90
2021/07/07 13:14,15.0,90
2021/07/07 13:15,15.0,90
2021/07/07 13:16,15.0,90
2021/07/07 13:17,15.0,91
2021/07/07 13:18,14.0,91
2021/07/07 13:19,14.0,92
2021/07/07 13:20,12.0,92
2021/07/07 13:21,12.0,136
2021/07/07 13:22,12.0,140
2021/07/07 13:23,12.0,142
2021/07/07 13:24,12.0,144
2021/07/07 13:25,13.0,143
2021/07/07 13:26,13.0,140
2021/07/07 13:27,12.0,138
2021/07/07 13:28,12.0,139
2021/07/07 13:29,12.0,139
2021/07/07 13:30,13.0,138
2021/07/07 13:31,12.0,139
2021/07/07 13:32,12.0,138
2021/07/07 13:33,11.0,137
2021/07/07 13:34,10.0,96
2021/07/07 13:35,10.0,133
2021/07/07 13:36,11.0,9999
2021/07/07 13:37,12.0,140
2021/07/07 13:38,12.0,131
2021/07/07 13:39,12.0,121
2021/07/07 13:40,12.0,121
2021/07/07 13:41,12.0,124
2021/07/07 13:42,12.0,124
2021/07/07 13:43,12.0,124
2021/07/07 13:44,12.0,124
2021/07/07 13:45,12.0,120
2021/07/07 13:46,12.0,110
2021/07/07 13:47,12.0,116
2021/07/07 13:48,12.0,118
2021/07/07 13:49,12.0,121
2021/07/07 13:50,14.0,127
2021/07/07 13:51,15.0,132
2021/07/07 13:52,15.0,132
2021/07/07 13:53,14.0,134
2021/07/07 13:54,14.0,135
2021/07/07 13:55,14.0,135
2021/07/07 13:56,15.0,136
2021/07/07 13:57,14.0,132
2021/07/07 13:58,13.0,132
2021/07/07 13:59,12.0,130
